State,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.5,5.1,5.2,5.3,5.4,5.5,1.1_n,1.2_n,1.3_n,1.4_n,1.5_n,1.6_n,2.1_n,2.2_n,2.3_n,2.4_n,2.5_n,3.1_n,3.2_n,3.3_n,3.4_n,3.5_n,3.6_n,4.1_n,4.2_n,4.3_n,4.4_n,4.5_n,5.1_n,5.2_n,5.3_n,5.4_n,5.5_n,Reproductive Rights,LGBTQ+ Protections,Voting Access,Labor Rights,Criminal Justice,Composite_EqualWeight,Composite_PCA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Rank_EqualWeight,Rank_PCA
Georgia,20,50,0,0,0,50,1.0,0,0,50,100,-1,100,0,0,33,0,10.6,5.15,0,0,0,0,33,0,0.0,50,20.0,50.0,0.0,0.0,0.0,50.0,25.210084033613445,0.0,0.0,50.0,100.0,50.0,100.0,0.0,0.0,33.0,0.0,5.829158010509593,0.0,0.0,0.0,0.0,0.0,49.62406015037594,0.0,0.0,100.0,20.0,35.042016806722685,30.5,1.1658316021019186,29.92481203007519,23.32653208777996,23.211947445571475,51.4,71355,75.1,50.1,32.0,10.5,0.487,3.4,1,R,35,35
Hawaii,80,100,100,100,100,100,32.0,100,100,100,100,2,100,100,100,67,100,63.36,16.0,0,0,100,100,67,0,0.0,50,80.0,100.0,100.0,100.0,100.0,100.0,77.31092436974791,100.0,100.0,100.0,100.0,71.42857142857143,100.0,100.0,100.0,67.0,100.0,70.30428938042283,84.765625,0.0,0.0,100.0,100.0,75.18796992481202,0.0,0.0,100.0,96.66666666666667,95.46218487394958,89.73809523809524,51.01398287608457,55.037593984962406,77.5837047279517,78.23895427121062,37.8,94814,91.9,21.7,1.6,10.7,0.436,3.0,1,D,15,15
Idaho,0,50,0,0,0,0,-5.75,0,0,0,0,-1,0,0,33,33,100,24.07,7.25,0,0,0,0,33,0,0.0,0,0.0,50.0,0.0,0.0,0.0,0.0,13.865546218487395,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.0,33.0,100.0,22.29011365025052,16.406249999999996,0.0,0.0,0.0,0.0,49.62406015037594,0.0,0.0,0.0,8.333333333333334,2.773109243697479,36.0,7.739272730050104,9.924812030075188,12.95410546743122,12.836378683160875,67.2,69208,72.4,78.9,0.8,13.6,0.441,3.0,1,R,46,45
Illinois,80,100,100,100,100,100,42.0,100,100,100,50,1,100,100,100,67,100,73.24,15.0,0,100,100,100,67,100,0.0,50,80.0,100.0,100.0,100.0,100.0,100.0,94.11764705882352,100.0,100.0,100.0,50.0,64.28571428571429,100.0,100.0,100.0,67.0,100.0,82.37810094097519,76.953125,0.0,100.0,100.0,100.0,75.18796992481202,100.0,0.0,100.0,96.66666666666667,88.82352941176471,88.54761904761904,71.86624518819504,75.0375939849624,84.18833085984156,84.45206168466848,41.0,78433,88.5,58.3,14.1,18.1,0.494,4.8,1,D,10,10
Indiana,0,0,0,0,0,0,-1.0,50,0,0,50,-4,0,0,0,33,0,23.38,7.25,0,0,0,0,67,50,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,21.84873949579832,50.0,0.0,0.0,50.0,28.57142857142857,0.0,0.0,0.0,33.0,0.0,21.446902114139064,16.406249999999996,0.0,0.0,0.0,0.0,75.18796992481202,50.0,0.0,100.0,0.0,24.369747899159666,10.261904761904761,7.570630422827813,45.037593984962406,17.447975413770926,16.83085374591272,59.9,67173,72.4,75.5,9.9,8.0,0.454,3.5,1,R,39,39
Iowa,20,0,100,0,0,50,12.5,100,0,0,50,-2,0,0,67,67,100,26.72,7.25,0,0,0,100,0,0,100.0,0,20.0,0.0,100.0,0.0,0.0,50.0,44.537815126050425,100.0,0.0,0.0,50.0,42.857142857142854,0.0,0.0,67.0,67.0,100.0,25.528534767200295,16.406249999999996,0.0,0.0,0.0,100.0,24.81203007518797,0.0,100.0,0.0,28.333333333333332,38.90756302521008,46.142857142857146,8.386956953440059,44.962406015037594,33.34662329397564,33.040700769056784,57.5,72429,64.0,82.7,4.1,6.8,0.44,2.7,1,R,30,31
Kansas,60,100,0,0,0,0,2.0,50,0,50,0,-3,0,0,0,33,0,20.62,7.25,0,0,0,0,33,0,100.0,0,60.0,100.0,0.0,0.0,0.0,0.0,26.89075630252101,50.0,0.0,50.0,0.0,35.714285714285715,0.0,0.0,0.0,33.0,0.0,18.074055969693266,16.406249999999996,0.0,0.0,0.0,0.0,49.62406015037594,0.0,100.0,0.0,26.666666666666668,25.378151260504204,11.452380952380954,6.896061193938652,29.92481203007519,20.063614420713133,19.92722285973279,58.4,73620,74.2,72.2,5.9,12.7,0.451,3.1,1,R,38,38
Kentucky,0,0,0,0,0,0,5.75,50,0,0,50,-1,0,0,67,0,0,19.83,7.25,0,0,0,0,0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.193277310924366,50.0,0.0,0.0,50.0,50.0,0.0,0.0,67.0,0.0,0.0,17.10863986313088,16.406249999999996,0.0,0.0,0.0,0.0,24.81203007518797,50.0,0.0,0.0,0.0,26.638655462184875,19.5,6.702977972626175,14.962406015037596,13.560807889969729,13.553979110757234,65.1,60407,58.4,81.3,8.4,4.1,0.478,4.0,1,R,42,41
Louisiana,0,0,0,0,0,0,-6.75,0,0,0,50,-8,0,0,33,33,0,19.61,7.25,0,0,0,0,67,0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.184873949579831,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.0,33.0,0.0,16.839789808138825,16.406249999999996,0.0,0.0,0.0,0.0,75.18796992481202,0.0,100.0,0.0,0.0,12.436974789915967,11.0,6.649207961627764,35.037593984962406,13.024755347301227,12.475266015191298,60.4,55416,73.4,55.8,32.4,6.8,0.496,4.4,1,R,45,46
Maine,80,100,100,100,100,0,44.5,100,100,100,100,5,0,100,100,100,100,67.81,15.1,100,100,100,100,100,0,100.0,0,80.0,100.0,100.0,100.0,100.0,0.0,98.31932773109243,100.0,100.0,100.0,100.0,92.85714285714286,0.0,100.0,100.0,100.0,100.0,75.74239276548943,77.734375,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,80.0,99.66386554621849,82.14285714285715,90.69535355309787,60.0,82.5004152484347,83.14394138912476,43.3,68251,38.7,90.8,1.7,2.1,0.449,3.1,1,D,13,13
